License Number;Entity Name;Camis Trade Name;Address Bldg;Address Street Name;Address Location;Address City
918596;TORRES, DELIA;DELIA'S LAUNDROMAT;1950;AMSTERDAM AVENUE;;NEW YORK
921639;HONG, SEONG BEOM;HONG'S LAUNDROMAT;3144;FULTON STREET;;BROOKLYN
922506;CHI, JONG SOOK;LINDEN VIEW LAUNDROMAT;25-33B;PARSONS BOULEVARD;;FLUSHING
926664;FOUR SEASONS LAUNDROMAT INC;;287;   6 AVENUE;;BROOKLYN
936782;SAUNDERS LAUNDROMAT INC;TODA LAUNDROMAT;63-75;SAUNDERS STREET;;REGO PARK
952670;5416 CORP;;5416;   7 AVENUE;;BROOKLYN
960252;LAUNDROMAT PLUS INC;;1683;LEXINGTON AVENUE;;NEW YORK
962899;EAST VILLAGE LAUNDERETTE INC;EAST VILLAGE LAUNDERETTE;153;EAST    3 STREET;;NEW YORK
968002;JAY LAUNDROMAT CORP.;;2217;AVENUE U;;BROOKLYN
971685;NEW 97 CLEANERS INC;YOUNG'S VALET INC;888;   8 AVENUE;;NEW YORK
974476;FOUR CORNERS LAUNDROMAT INC;;2373;BELMONT AVENUE;;BRONX
976260;CHEN, RICHARD I;CHEN LAUNDROMAT;50-16;  39 AVENUE;;WOODSIDE
978625;YEE, DAVID, M;YEE'S EXCELLENT CLEANERS & LAUNDROMAT;524;   9 AVENUE;;NEW YORK
978699;AMY G LAUNDRY INC;;2702;BARNES AVENUE;;BRONX
979657;SUDS ON 8TH AVENUE, INC;;1521;   8 AVENUE;;BROOKLYN
980367;JUNG LEE LAUNDROMAT, INC.;;465;MARCUS GARVEY BOULEVARD;;BROOKLYN
992320;351 1/2 CORP;ALL WASHED UP;351 1/2;EAST   54 STREET;;NEW YORK
1002861;TURBO LAUNDRY CENTER INC;;62-01C;NORTHERN BOULEVARD;;WOODSIDE
1003533;G.P.LAUDROMAT, INC.;;35-05;  34 STREET;;QUEENS
1009047;SKWEEKY KLEEN LAUNDROMAT INC.;;21;NAGLE AVENUE;;NEW YORK
1020593;B.K. SUPERCLEAN INC;;1502;  86 STREET;;BROOKLYN
526598;BORO PARK WASH CENTER INC;;5321;FT HAMILTON PARKWAY;;BKLYN
528928;LABADY, RAOUL;DAWN LAUNDROMAT AND CLEANERS;754;WASHINGTON AVENUE;;BROOKLYN
579770;NG, NGAU WOON;;1067;BRIGHTON BEACH AVENUE;;BROOKLYN
620298;CYNGIEL, SHLOMO;;116;BRIGHTON   11 STREET;;BKLYN
739493;FAST WASH INC;MR MACHINE LAUNDROMAT;140-11;CHERRY AVENUE;;QUEENS
785994;LEMODETIS, MARIA;ANGELO'S LAUNDROMAT;30-95;  32 STREET;;QUEENS
813266;HONG, SUNG MIN;SNOW WHITE LAUNDROMAT;2006;  61 STREET;;BROOKLYN
832176;GUFRAN LAUNDERETTE INC;;1307;NOSTRAND AVENUE;;BROOKLYN
837813;BIG RUSS LTD;;105-04;NORTHERN BOULEVARD;;QUEENS
839629;M V L LAUNDROMAT INC;;1012;MANHATTAN AVENUE;;BROOKLYN
856880;PYUN CLEANERS INC;TRAFALGAR CLEANERS;1352;LEXINGTON AVENUE;;NEW YORK
858581;ISABEL'S LAUNDRY CORP;;37-24; 103 STREET;;CORONA
880239;F.M.A. LAUNDROMAT CORP.;;24-46;STEINWAY STREET;;QUEENS
881691;WIEGAND, WILLIAM;LAUNDER MAGIC;70;EAST MT EDEN AVENUE;;BRONX
882598;MANIATOPOULOS, ARGY  & SHAPIRO, DAVID;4TH AVENUE LAUNDROMAT;784;   4 AVENUE;;BROOKLYN
886215;JUNG, SO SUN;HEIGHTS HAND LAUNDRYAND DRY CLEANERS;117;HENRY STREET;;BROOKLYN
889745;BERMUDEZ, ANGELA;ANGELA'S LAUNDROMAT;993;MANHATTAN AVENUE;;BROOKLYN
890272;KO, KYUNG SIK;FAMILY LAUNDROMAT;147-14A;NORTHERN BOULEVARD;;QUEENS
